txn_id,txn_type,gross_amount,correct_fee,correct_gst,correct_net,stated_net,discrepancy_amount,injected_error_type
1001,CARD_TERMINAL_SETTLEMENT,24788.54,446.19,80.31,24262.04,23815.85,-446.19,fee_double_charged
1002,RAZORPAY_PAYOUT_BATCH,23972.91,479.46,86.3,23407.15,23407.15,0.0,
1051,CARD_TERMINAL_SETTLEMENT,24387.63,438.98,79.02,23869.63,23869.63,0.0,
1052,RAZORPAY_PAYOUT_BATCH,84450.03,0.0,0.0,84450.03,84450.03,0.0,
1087,CARD_TERMINAL_SETTLEMENT,19993.06,359.88,64.78,19568.4,19521.23,-47.17,wrong_mdr_rate
1140,CARD_TERMINAL_SETTLEMENT,25787.42,464.17,83.55,25239.7,25239.7,0.0,
1179,CARD_TERMINAL_SETTLEMENT,18487.49,332.77,59.9,18094.82,17762.05,-332.77,fee_double_charged
1180,RAZORPAY_PAYOUT_BATCH,41608.38,0.0,0.0,41608.38,41608.38,0.0,
1230,CARD_TERMINAL_SETTLEMENT,12525.08,225.45,40.58,12259.05,12259.05,0.0,
1231,RAZORPAY_PAYOUT_BATCH,7461.02,0.0,0.0,7461.02,7461.02,0.0,
1274,CARD_TERMINAL_SETTLEMENT,25238.58,454.29,81.77,24702.52,24702.52,0.0,
1275,RAZORPAY_PAYOUT_BATCH,55765.95,0.0,0.0,55765.95,55765.95,0.0,
1328,CARD_TERMINAL_SETTLEMENT,16509.41,297.17,53.49,16158.75,16158.75,0.0,
1329,RAZORPAY_PAYOUT_BATCH,76904.37,0.0,0.0,76904.37,76904.37,0.0,
1380,CARD_TERMINAL_SETTLEMENT,30264.59,544.76,98.06,29621.77,29621.77,0.0,
1381,RAZORPAY_PAYOUT_BATCH,84383.42,0.0,0.0,84383.42,84383.42,0.0,
1441,CARD_TERMINAL_SETTLEMENT,30903.76,556.27,100.13,30247.36,30247.36,0.0,
1488,CARD_TERMINAL_SETTLEMENT,25293.88,455.29,81.95,24756.64,24756.64,0.0,
1537,CARD_TERMINAL_SETTLEMENT,17480.39,314.65,56.64,17109.1,17109.1,0.0,
1538,RAZORPAY_PAYOUT_BATCH,12005.75,240.12,43.22,11722.41,11722.41,0.0,
1575,CARD_TERMINAL_SETTLEMENT,15579.22,280.43,50.48,15248.31,15248.31,0.0,
1626,CARD_TERMINAL_SETTLEMENT,25871.21,465.68,83.82,25321.71,25321.71,0.0,
1627,RAZORPAY_PAYOUT_BATCH,23975.16,479.5,86.31,23409.35,23409.35,0.0,
1672,CARD_TERMINAL_SETTLEMENT,27480.62,412.21,74.2,26994.21,26994.21,0.0,
1673,RAZORPAY_PAYOUT_BATCH,56423.23,0.0,0.0,56423.23,56423.23,0.0,
1674,RAZORPAY_PAYOUT_BATCH,82641.79,1652.84,297.51,80691.44,80691.44,0.0,
1724,CARD_TERMINAL_SETTLEMENT,22406.18,336.09,60.5,22009.59,22009.59,0.0,
1725,RAZORPAY_PAYOUT_BATCH,40600.19,812.0,146.16,39642.03,39642.03,0.0,
1772,CARD_TERMINAL_SETTLEMENT,25667.81,385.02,69.3,25213.49,25062.05,-151.44,wrong_mdr_rate
1773,RAZORPAY_PAYOUT_BATCH,22340.08,446.8,80.42,21812.86,21812.86,0.0,
1817,CARD_TERMINAL_SETTLEMENT,19189.72,287.85,51.81,18850.06,18850.06,0.0,
1818,RAZORPAY_PAYOUT_BATCH,79620.3,1592.41,286.63,77741.26,77741.26,0.0,
1855,CARD_TERMINAL_SETTLEMENT,19245.4,288.68,51.96,18904.76,18904.76,0.0,
1856,RAZORPAY_PAYOUT_BATCH,27210.75,544.22,97.96,26568.57,26568.57,0.0,
1906,CARD_TERMINAL_SETTLEMENT,20436.33,306.54,55.18,20074.61,20074.61,0.0,
1907,RAZORPAY_PAYOUT_BATCH,77156.57,0.0,0.0,77156.57,77156.57,0.0,
1908,RAZORPAY_PAYOUT_BATCH,24398.52,0.0,0.0,24398.52,24398.52,0.0,
1943,CARD_TERMINAL_SETTLEMENT,24502.65,367.54,66.16,24068.95,23694.06,-374.89,gst_on_gross
1982,CARD_TERMINAL_SETTLEMENT,20686.09,310.29,55.85,20319.95,20319.95,0.0,
2041,CARD_TERMINAL_SETTLEMENT,24971.53,374.57,67.42,24529.54,24529.54,0.0,
2042,RAZORPAY_PAYOUT_BATCH,66061.85,0.0,0.0,66061.85,64502.79,-1559.06,commission_on_upi
2097,CARD_TERMINAL_SETTLEMENT,27114.86,406.72,73.21,26634.93,26634.93,0.0,
2098,RAZORPAY_PAYOUT_BATCH,12897.87,257.96,46.43,12593.48,12593.48,0.0,
2136,CARD_TERMINAL_SETTLEMENT,25681.48,385.22,69.34,25226.92,25226.92,0.0,
2137,RAZORPAY_PAYOUT_BATCH,57108.32,1142.17,205.59,55760.56,55760.56,0.0,
2169,CARD_TERMINAL_SETTLEMENT,24206.04,363.09,65.36,23777.59,23777.59,0.0,
2170,RAZORPAY_PAYOUT_BATCH,14216.59,284.33,51.18,13881.08,13881.08,0.0,
2171,RAZORPAY_PAYOUT_BATCH,57187.13,0.0,0.0,57187.13,57187.13,0.0,
2213,CARD_TERMINAL_SETTLEMENT,20381.33,305.72,55.03,20020.58,20020.58,0.0,
2214,RAZORPAY_PAYOUT_BATCH,24555.38,0.0,0.0,24555.38,24555.38,0.0,
2257,CARD_TERMINAL_SETTLEMENT,28786.63,431.8,77.72,28277.11,28277.11,0.0,
2258,RAZORPAY_PAYOUT_BATCH,18706.65,0.0,0.0,18706.65,18706.65,0.0,
2312,CARD_TERMINAL_SETTLEMENT,21494.31,322.41,58.03,21113.87,21113.87,0.0,
2313,RAZORPAY_PAYOUT_BATCH,42371.6,847.43,152.54,41371.63,41371.63,0.0,
2361,CARD_TERMINAL_SETTLEMENT,28178.67,422.68,76.08,27679.91,27679.91,0.0,
2362,RAZORPAY_PAYOUT_BATCH,84444.05,1688.88,304.0,82451.17,81235.18,-1215.99,gst_on_gross
2363,RAZORPAY_PAYOUT_BATCH,35963.35,0.0,0.0,35963.35,35963.35,0.0,
