txn_id,value_date,txn_type,narration,withdrawal_amt,deposit_amt,closing_balance
1001,01/07/26,CARD_TERMINAL_SETTLEMENT,TERMINAL 1 CARDS SETTL. 01/07/26,,23815.85,1223815.85
1002,01/07/26,RAZORPAY_PAYOUT_BATCH,RAZORPAY PAYOUT CARD-ONLINE-BATCH 01/07/26,,23407.15,1247223.0
1003,01/07/26,UPI_DIRECT_CREDIT,UPI-79718747672-CUSTOMER@OKBANK,,34.3,1247257.3
1004,01/07/26,UPI_DIRECT_CREDIT,UPI-68175080694-CUSTOMER@OKBANK,,2117.23,1249374.53
1005,01/07/26,UPI_DIRECT_CREDIT,UPI-54764787985-CUSTOMER@OKBANK,,73.15,1249447.68
1006,01/07/26,UPI_DIRECT_CREDIT,UPI-61937947921-CUSTOMER@OKBANK,,89.86,1249537.54
1007,01/07/26,UPI_DIRECT_CREDIT,UPI-73263716304-CUSTOMER@OKBANK,,37.14,1249574.68
1008,01/07/26,UPI_DIRECT_CREDIT,UPI-94304365998-CUSTOMER@OKBANK,,1543.51,1251118.19
1009,01/07/26,UPI_DIRECT_CREDIT,UPI-61973405392-CUSTOMER@OKBANK,,266.67,1251384.86
1010,01/07/26,UPI_DIRECT_CREDIT,UPI-37295679827-CUSTOMER@OKBANK,,681.41,1252066.27
1011,01/07/26,UPI_DIRECT_CREDIT,UPI-98515543667-CUSTOMER@OKBANK,,204.02,1252270.29
1012,01/07/26,UPI_DIRECT_CREDIT,UPI-99873870754-CUSTOMER@OKBANK,,737.48,1253007.77
1013,01/07/26,UPI_DIRECT_CREDIT,UPI-62894468092-CUSTOMER@OKBANK,,209.26,1253217.03
1014,01/07/26,UPI_DIRECT_CREDIT,UPI-37121334999-CUSTOMER@OKBANK,,2502.95,1255719.98
1015,01/07/26,UPI_DIRECT_CREDIT,UPI-44973367171-CUSTOMER@OKBANK,,537.38,1256257.36
1016,01/07/26,UPI_DIRECT_CREDIT,UPI-68345352569-CUSTOMER@OKBANK,,1816.26,1258073.62
1017,01/07/26,UPI_DIRECT_CREDIT,UPI-76612908200-CUSTOMER@OKBANK,,270.27,1258343.89
1018,01/07/26,UPI_DIRECT_CREDIT,UPI-68757219412-CUSTOMER@OKBANK,,1086.4,1259430.29
1019,01/07/26,UPI_DIRECT_CREDIT,UPI-46632267177-CUSTOMER@OKBANK,,530.86,1259961.15
1020,01/07/26,UPI_DIRECT_CREDIT,UPI-86814581501-CUSTOMER@OKBANK,,919.52,1260880.67
1021,01/07/26,UPI_DIRECT_CREDIT,UPI-33342139034-CUSTOMER@OKBANK,,761.16,1261641.83
1022,01/07/26,UPI_DIRECT_CREDIT,UPI-82893704331-CUSTOMER@OKBANK,,872.29,1262514.12
1023,01/07/26,UPI_DIRECT_CREDIT,UPI-81463743911-CUSTOMER@OKBANK,,1080.9,1263595.02
1024,01/07/26,UPI_DIRECT_CREDIT,UPI-82681300933-CUSTOMER@OKBANK,,2196.27,1265791.29
1025,01/07/26,UPI_DIRECT_CREDIT,UPI-61235088433-CUSTOMER@OKBANK,,276.28,1266067.57
1026,01/07/26,UPI_DIRECT_CREDIT,UPI-18928193543-CUSTOMER@OKBANK,,264.71,1266332.28
1027,01/07/26,UPI_DIRECT_CREDIT,UPI-30469103028-CUSTOMER@OKBANK,,2562.57,1268894.85
1028,01/07/26,UPI_DIRECT_CREDIT,UPI-68439875878-CUSTOMER@OKBANK,,585.17,1269480.02
1029,01/07/26,UPI_DIRECT_CREDIT,UPI-62878418842-CUSTOMER@OKBANK,,2183.95,1271663.97
1030,01/07/26,UPI_DIRECT_CREDIT,UPI-24824020111-CUSTOMER@OKBANK,,1644.77,1273308.74
1031,01/07/26,UPI_DIRECT_CREDIT,UPI-88297746579-CUSTOMER@OKBANK,,935.76,1274244.5
1032,01/07/26,UPI_DIRECT_CREDIT,UPI-20009114172-CUSTOMER@OKBANK,,73.08,1274317.58
1033,01/07/26,UPI_DIRECT_CREDIT,UPI-89762022746-CUSTOMER@OKBANK,,1725.2,1276042.78
1034,01/07/26,UPI_DIRECT_CREDIT,UPI-23290028116-CUSTOMER@OKBANK,,146.55,1276189.33
1035,01/07/26,UPI_DIRECT_CREDIT,UPI-25660222785-CUSTOMER@OKBANK,,1598.87,1277788.2
1036,01/07/26,UPI_DIRECT_CREDIT,UPI-36837774596-CUSTOMER@OKBANK,,26.64,1277814.84
1037,01/07/26,UPI_DIRECT_CREDIT,UPI-42051743509-CUSTOMER@OKBANK,,569.17,1278384.01
1038,01/07/26,UPI_DIRECT_CREDIT,UPI-14715482085-CUSTOMER@OKBANK,,2273.64,1280657.65
1039,01/07/26,UPI_DIRECT_CREDIT,UPI-43709891493-CUSTOMER@OKBANK,,198.77,1280856.42
1040,01/07/26,UPI_DIRECT_CREDIT,UPI-18170929908-CUSTOMER@OKBANK,,591.38,1281447.8
1041,01/07/26,UPI_DIRECT_CREDIT,UPI-67059710962-CUSTOMER@OKBANK,,301.29,1281749.09
1042,01/07/26,UPI_DIRECT_CREDIT,UPI-77510049482-CUSTOMER@OKBANK,,2231.71,1283980.8
1043,01/07/26,UPI_DIRECT_CREDIT,UPI-86174411141-CUSTOMER@OKBANK,,2546.81,1286527.61
1044,01/07/26,UPI_DIRECT_CREDIT,UPI-82381880778-CUSTOMER@OKBANK,,488.16,1287015.77
1045,01/07/26,NEFT_VENDOR_DEBIT,NEFT DR-VENDOR620-NETBANK,1420.53,,1285595.24
1046,01/07/26,NEFT_VENDOR_DEBIT,NEFT DR-VENDOR290-NETBANK,1878.2,,1283717.04
1047,01/07/26,NEFT_VENDOR_DEBIT,NEFT DR-SUPPLIER982-NETBANK,50000.0,,1233717.04
1048,01/07/26,NEFT_VENDOR_DEBIT,NEFT DR-SUPPLIER513-NETBANK,12000.0,,1221717.04
1049,01/07/26,NEFT_VENDOR_DEBIT,NEFT DR-SUPPLIER683-NETBANK,10000.0,,1211717.04
1050,01/07/26,MDR_RECOVERY_CHARGE,MDR RCVRY-01/07/26,193.49,,1211523.55
1051,02/07/26,CARD_TERMINAL_SETTLEMENT,TERMINAL 1 CARDS SETTL. 02/07/26,,23869.63,1235393.18
1052,02/07/26,RAZORPAY_PAYOUT_BATCH,RAZORPAY PAYOUT UPI-BATCH 02/07/26,,84450.03,1319843.21
1053,02/07/26,UPI_DIRECT_CREDIT,UPI-10311570307-CUSTOMER@OKBANK,,378.53,1320221.74
1054,02/07/26,UPI_DIRECT_CREDIT,UPI-38078925963-CUSTOMER@OKBANK,,142.36,1320364.1
1055,02/07/26,UPI_DIRECT_CREDIT,UPI-43841208003-CUSTOMER@OKBANK,,156.21,1320520.31
1056,02/07/26,UPI_DIRECT_CREDIT,UPI-92903679846-CUSTOMER@OKBANK,,2317.37,1322837.68
1057,02/07/26,UPI_DIRECT_CREDIT,UPI-86523879578-CUSTOMER@OKBANK,,1799.2,1324636.88
1058,02/07/26,UPI_DIRECT_CREDIT,UPI-24020774383-CUSTOMER@OKBANK,,96.12,1324733.0
1059,02/07/26,UPI_DIRECT_CREDIT,UPI-38367528107-CUSTOMER@OKBANK,,745.45,1325478.45
1060,02/07/26,UPI_DIRECT_CREDIT,UPI-76595224817-CUSTOMER@OKBANK,,422.16,1325900.61
1061,02/07/26,UPI_DIRECT_CREDIT,UPI-15483299827-CUSTOMER@OKBANK,,986.36,1326886.97
1062,02/07/26,UPI_DIRECT_CREDIT,UPI-84912113097-CUSTOMER@OKBANK,,762.67,1327649.64
1063,02/07/26,UPI_DIRECT_CREDIT,UPI-31062212842-CUSTOMER@OKBANK,,1090.19,1328739.83
1064,02/07/26,UPI_DIRECT_CREDIT,UPI-29025789079-CUSTOMER@OKBANK,,167.77,1328907.6
1065,02/07/26,UPI_DIRECT_CREDIT,UPI-61105492160-CUSTOMER@OKBANK,,21.17,1328928.77
1066,02/07/26,UPI_DIRECT_CREDIT,UPI-44058579637-CUSTOMER@OKBANK,,1074.75,1330003.52
1067,02/07/26,UPI_DIRECT_CREDIT,UPI-31581293114-CUSTOMER@OKBANK,,885.72,1330889.24
1068,02/07/26,UPI_DIRECT_CREDIT,UPI-43546912874-CUSTOMER@OKBANK,,2482.39,1333371.63
1069,02/07/26,UPI_DIRECT_CREDIT,UPI-78112139383-CUSTOMER@OKBANK,,86.64,1333458.27
1070,02/07/26,UPI_DIRECT_CREDIT,UPI-43807075019-CUSTOMER@OKBANK,,789.95,1334248.22
1071,02/07/26,UPI_DIRECT_CREDIT,UPI-22302302217-CUSTOMER@OKBANK,,696.02,1334944.24
