transaction_id,amount,rzp_fee,rzp_tax,rzp_net
1001,1000.0,20.0,3.6,976.4
1002,999.99,20.0,3.6,976.39
1003,15000.0,225.0,40.5,14734.5
1004,15000.0,225.0,40.5,14734.5
1005,15000.0,270.0,48.6,14681.4
1006,24788.54,446.19,80.31,24262.04
1007,66414.17,1328.28,239.09,64846.8
1008,12595.94,226.73,40.81,12328.4
1009,23224.9,348.37,62.71,22813.82
1011,62983.48,0.0,0.0,62983.48
1012,13854.92,207.82,37.41,13609.69
1013,26594.64,398.92,71.81,26123.91
1014,7552.62,0.0,0.0,7552.62
1015,17709.83,0.0,0.0,17709.83
1016,29106.35,436.6,78.59,28591.16
1017,57393.76,1147.88,206.62,56039.26
1018,84330.59,1686.61,303.59,82340.39
1019,15268.05,229.02,41.22,14997.81
1020,61772.98,1235.46,222.38,60315.14
1021,18309.06,274.64,49.44,17984.98
1022,19530.08,390.6,70.31,19069.17
1023,14792.61,221.89,39.94,14530.78
1024,80855.15,1617.1,291.08,78946.97
1025,8636.39,0.0,0.0,8636.39
1026,20443.2,306.65,55.2,20081.35
1028,61513.08,1230.26,221.45,60061.37
1029,20695.31,310.43,55.88,20329.0
1030,87483.98,1749.68,314.94,85419.36
1031,28833.39,432.5,77.85,28323.04
1032,68744.72,1374.89,247.48,67122.35
1033,18483.12,277.25,49.91,18155.96
1034,21930.98,0.0,0.0,21930.98
1035,28320.47,424.81,76.47,27819.19
1036,11991.04,239.82,43.17,11708.05
1037,20462.76,306.94,55.25,20100.57
1038,64308.93,1286.18,231.51,62791.24
1039,21029.72,473.18,85.17,20471.37
1040,23766.17,356.49,64.17,23345.51
1041,26156.82,392.35,70.62,25693.85
1042,6841.73,0.0,0.0,6841.73
1043,30710.28,460.65,82.92,30166.71
1044,72770.98,0.0,0.0,72770.98
1045,42298.71,845.97,152.27,41300.47
1046,20052.43,360.94,64.97,19626.52
1047,17647.31,352.95,63.53,17230.83
1048,30465.31,548.38,98.71,29818.22
1049,13011.77,234.21,42.16,12735.4
